SERIAL NUMBER,TYPE,RECEPTION VI,WIRE VI,MASKING VI,UNMASKING VI
20UPGB43403110,QUAD_BARE_MODULE,0,N/A,N/A,N/A
20UPGB43403109,QUAD_BARE_MODULE,0,N/A,N/A,N/A
20UPGB43403108,QUAD_BARE_MODULE,0,N/A,N/A,N/A
20UPGB43403107,QUAD_BARE_MODULE,0,N/A,N/A,N/A
20UPGB43403106,QUAD_BARE_MODULE,0,N/A,N/A,N/A
20UPGB43403105,QUAD_BARE_MODULE,0,N/A,N/A,N/A
20UPGB43403104,QUAD_BARE_MODULE,0,N/A,N/A,N/A
20UPGB43403103,QUAD_BARE_MODULE,0,N/A,N/A,N/A
20UPGB43403102,QUAD_BARE_MODULE,0,N/A,N/A,N/A
20UPGB43403101,QUAD_BARE_MODULE,0,N/A,N/A,N/A
20UPGB43403100,QUAD_BARE_MODULE,0,N/A,N/A,N/A
20UPGB43403099,QUAD_BARE_MODULE,0,N/A,N/A,N/A
